"Doctor_ID";"Specialization_ID";"Employed_Since";"Employment_Status"
101;21;"1999-02-16";"Employed"
102;21;"1999-02-17";"Employed"
103;21;"1999-02-18";"Employed"
104;21;"1999-02-19";"Employed"
105;1;"1999-02-20";"Employed"
106;2;"1999-02-21";"Employed"
107;3;"1999-02-22";"Employed"
108;4;"1999-02-23";"Employed"
109;21;"1999-02-24";"Employed"
110;5;"1999-02-25";"Employed"
111;21;"1999-02-26";"Employed"
112;21;"1999-02-27";"Employed"
113;21;"1999-02-28";"Employed"
114;21;"0000-00-00";"Employed"
115;6;"0000-00-00";"Employed"
116;7;"0000-00-00";"Employed"
117;8;"0000-00-00";"Employed"
118;9;"0000-00-00";"Employed"
119;10;"0000-00-00";"Employed"
120;21;"0000-00-00";"Employed"
121;11;"0000-00-00";"Employed"
122;12;"0000-00-00";"Employed"
123;13;"0000-00-00";"Employed"
124;14;"0000-00-00";"Employed"
125;15;"0000-00-00";"Employed"
126;16;"0000-00-00";"Employed"
127;17;"0000-00-00";"Employed"
128;18;"0000-00-00";"Employed"
129;19;"0000-00-00";"Employed"
130;20;"0000-00-00";"Employed"
131;1;"0000-00-00";"Employed"
132;2;"0000-00-00";"Employed"
133;3;"0000-00-00";"Employed"
134;4;"0000-00-00";"Employed"
135;5;"0000-00-00";"Employed"
136;6;"0000-00-00";"Employed"
137;7;"0000-00-00";"Employed"
138;8;"0000-00-00";"Employed"
139;9;"0000-00-00";"Employed"
140;10;"0000-00-00";"Employed"
141;11;"0000-00-00";"Employed"
142;12;"0000-00-00";"Employed"
143;13;"0000-00-00";"Employed"
144;14;"0000-00-00";"Employed"
145;15;"0000-00-00";"Employed"
146;16;"0000-00-00";"Employed"
147;17;"0000-00-00";"Employed"
148;18;"0000-00-00";"Employed"
149;19;"0000-00-00";"Employed"
150;20;"0000-00-00";"Employed"
